inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20
83,20,5,5,5,5,2,1800.5879979133606,4.556206511937941,2.2270939350128174,4.6397721691663705,3.044208526611328,4.6397721691663705,19.757758140563965,4.623305783065532,21.10284996032715,4.606511131348237,212.39835906028748,4.573737430269255,238.160302400589,4.557353626917496,1103.3910388946533,4.556206511937941,,,,,,,,,,,,,,,,,,,,,,,,,,
84,20,5,5,5,5,2,1800.088256597519,4.273349712562038,4.898008346557617,4.415604044869624,6.214663743972778,4.388883365982451,6.214757919311523,4.388883365982451,14.105058670043945,4.320979268086176,43.996740102767944,4.3170208849658485,54.278706312179565,4.314870457797639,146.0181016921997,4.312697366595838,166.2608814239502,4.273349712562038,,,,,,,,,,,,,,,,,,,,,,,,
85,20,5,5,5,5,2,1800.1610774993896,4.073641057475306,3.7086892127990723,4.195559631871696,9.527164936065674,4.169666283657902,9.527270317077637,4.169666283657902,13.98769736289978,4.11687407573138,157.62223410606384,4.099885554607556,370.3946850299835,4.098174170400269,391.9545907974243,4.0914522022734525,539.2461576461792,4.073641057475306,,,,,,,,,,,,,,,,,,,,,,,,
86,20,5,5,5,5,2,1800.0788469314575,4.290244321098501,3.7918691635131836,4.353952041998765,6.3246378898620605,4.324236303035783,6.324730157852173,4.324236303035783,41.4475622177124,4.3156050993967385,185.59112310409546,4.310951399543107,381.55943751335144,4.296685423706517,722.1728363037109,4.290244321098501,,,,,,,,,,,,,,,,,,,,,,,,,,
87,20,5,5,5,5,2,1800.3657541275024,4.26146158084163,2.6142632961273193,4.330835530900416,5.398131370544434,4.330835530900416,14.302928924560547,4.3228540471223065,18.550429582595825,4.321099198363229,19.38309597969055,4.270433084379813,246.85534381866455,4.268773588423808,1655.892427444458,4.26146158084163,,,,,,,,,,,,,,,,,,,,,,,,,,
88,20,5,5,5,5,2,1800.0090260505676,4.358687022505651,1.1317369937896729,4.438573208580549,2.1136069297790527,4.438573208580549,3.843174934387207,4.3897363457991325,40.79324150085449,4.3786472452195255,52.727495431900024,4.370962345192812,96.07697677612305,4.370424995012559,116.72795629501343,4.361782600709444,195.59813237190247,4.358687022505651,,,,,,,,,,,,,,,,,,,,,,,,
89,20,5,5,5,5,2,1800.084861755371,4.75632228922672,1.3026986122131348,4.853752525961851,2.9401228427886963,4.81369195860527,2.940216064453125,4.81369195860527,7.383782148361206,4.7957508769726385,11.409608840942383,4.771315096190951,19.277899980545044,4.770044342426636,78.92096996307373,4.764030476773258,91.79720282554626,4.762558693470218,149.81513595581055,4.761561892983358,179.24989342689514,4.761109654425824,342.9014081954956,4.759946177274117,370.51173734664917,4.75676755972413,468.7895712852478,4.75632228922672,,,,,,,,,,,,,,
90,20,5,5,5,5,2,1800.1861951351166,4.172024699672667,0.7309417724609375,4.205687039570969,5.66313910484314,4.205687039570969,11.689779043197632,4.191650379501356,198.39050459861755,4.172024699672667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,20,5,5,5,5,2,1800.1953222751617,3.9225505282242095,3.1832356452941895,4.25974223699886,4.22117280960083,4.090881362427531,4.22126841545105,4.090881362427531,5.954319715499878,4.044757426055297,18.945130348205566,3.9912131111744547,46.08116388320923,3.988808681901285,46.68548059463501,3.9225505282242095,,,,,,,,,,,,,,,,,,,,,,,,,,
92,20,5,5,5,5,2,1800.2890238761902,4.258555923535073,5.079013347625732,4.450308489567348,9.931548595428467,4.450308489567348,14.054283618927002,4.400840733604427,33.75908637046814,4.400026635565961,39.20895957946777,4.391852737857857,59.20864486694336,4.356825350189962,81.25756549835205,4.353270210599612,100.59760546684265,4.291870130201948,187.335547208786,4.286489061164957,501.45738887786865,4.282157201186628,775.6547875404358,4.273041866646502,1767.842699766159,4.258555923535073,,,,,,,,,,,,,,,,
93,20,5,5,5,5,2,1800.0298929214478,4.366433340763653,1.9568021297454834,4.556098074893516,2.9690587520599365,4.457113117855753,2.969149589538574,4.457113117855753,4.186960935592651,4.394473178080523,31.241945028305054,4.394273924431254,51.11378335952759,4.390221044117204,58.84471344947815,4.3807361971258505,121.96754789352417,4.366433340763653,,,,,,,,,,,,,,,,,,,,,,,,
94,20,5,5,5,5,2,1800.1970901489258,4.1877143002527735,3.238734722137451,4.381511204895905,4.566244602203369,4.381511204895905,7.157196998596191,4.3240569275586935,11.515187501907349,4.280880572282071,29.22693157196045,4.2793155710471025,60.997169494628906,4.274159224965675,64.89485454559326,4.267375804490956,72.62843465805054,4.2461150301710395,96.57160067558289,4.229432037906834,152.5306715965271,4.19247756299791,260.52660512924194,4.1877143002527735,,,,,,,,,,,,,,,,,,
