inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18
21,20,6,6,-1,5,2,1800.0463149547577,4.186881855402007,2.2763752937316895,4.283556763324977,3.391904354095459,4.2552414623844355,3.3920035362243652,4.2552414623844355,7.940660238265991,4.2408444044339255,8.775143384933472,4.1929994080844235,327.17400789260864,4.186881855402007,,,,,,,,,,,,,,,,,,,,,,,,
22,20,6,6,-1,5,2,1800.5337533950806,4.009190673949735,17.459431648254395,4.158331769330882,29.084049940109253,4.158331769330882,36.31754446029663,4.080605755260788,72.95308947563171,4.067079771942163,100.20551562309265,4.0123609452120865,483.3969795703888,4.0093245700373465,1007.0203146934509,4.009190673949735,,,,,,,,,,,,,,,,,,,,,,
23,20,6,6,-1,5,2,1800.10657954216,4.106863100408912,1.508620023727417,4.20419419533212,5.0212721824646,4.20419419533212,8.90609097480774,4.165073962461338,20.552263498306274,4.164292657424292,34.40862321853638,4.146448846104635,38.630637884140015,4.125372076836928,53.73131585121155,4.123552338919345,98.22886729240417,4.121281686420242,125.56012773513794,4.1137904998253125,637.4321320056915,4.106863100408912,,,,,,,,,,,,,,,,
24,20,6,6,-1,5,2,1800.1212410926819,4.008807860610553,12.252618551254272,4.141898830076379,16.0166494846344,4.0968957667155275,16.016751289367676,4.0968957667155275,35.09233808517456,4.085482318880136,297.69114422798157,4.069786979085804,387.08790278434753,4.0437247074110205,1099.5422008037567,4.042290674173038,1654.8349199295044,4.008807860610553,,,,,,,,,,,,,,,,,,,,
25,20,6,6,-1,5,2,1800.0295362472534,4.082794148121644,1.1771457195281982,4.311449477819764,2.388120174407959,4.305546075934437,2.388211965560913,4.305546075934437,5.12064528465271,4.16793271034192,8.853624105453491,4.161838283016629,12.527352094650269,4.082794148121644,,,,,,,,,,,,,,,,,,,,,,,,
26,20,6,6,-1,5,2,1800.1759643554688,4.228433909943999,3.433488130569458,4.383144532160812,7.48633885383606,4.383144532160812,16.477925062179565,4.329577095143822,19.451936960220337,4.2765172209364035,20.32317614555359,4.270539500474648,23.368596076965332,4.252891047388645,26.97165870666504,4.243628889791479,87.98612856864929,4.230014882199304,1558.2272560596466,4.228433909943999,,,,,,,,,,,,,,,,,,
27,20,6,6,-1,5,2,1800.32763504982,4.122783727094966,5.1409900188446045,4.321626347632172,9.67275595664978,4.321626347632172,33.55761480331421,4.273000521380282,69.44724917411804,4.268745105806319,70.32085752487183,4.243898671537284,112.00484132766724,4.2192980206932615,189.9089813232422,4.1927824657495965,229.26650500297546,4.189220143452884,280.2494647502899,4.179679099002018,344.57634830474854,4.157814197572448,379.22251439094543,4.136998205416884,489.26720237731934,4.134863142208938,1405.8868012428284,4.122783727094966,,,,,,,,,,
28,20,6,6,-1,5,2,1800.0429406166077,4.239426286920824,7.373626470565796,4.482889454938067,17.114288330078125,4.475741958715564,17.114384651184082,4.475741958715564,20.25585651397705,4.354193052668009,34.961671590805054,4.253978873398467,295.0926260948181,4.2454191234006124,303.82209873199463,4.239426286920824,,,,,,,,,,,,,,,,,,,,,,
29,20,6,6,-1,5,2,1800.0605676174164,4.470164141813715,4.416787147521973,4.662687713354846,5.373349189758301,4.623656700716026,5.373440504074097,4.623656700716026,20.08492422103882,4.617375022303727,28.824767589569092,4.603615290576264,30.11241841316223,4.547907316442155,35.28509593009949,4.537077392615625,57.78387475013733,4.50065892943058,143.77884984016418,4.476435192071558,193.20005249977112,4.475640495615979,1574.8945806026459,4.474798500322056,1665.6312384605408,4.470164141813715,,,,,,,,,,,,
30,20,6,6,-1,5,2,1800.0017590522766,4.145725934486637,1.6100292205810547,4.317155330874321,4.551559686660767,4.317155330874321,7.3527991771698,4.176955066221285,38.58487367630005,4.175956467703463,44.95455360412598,4.148553151295242,373.29125475883484,4.145725934486637,,,,,,,,,,,,,,,,,,,,,,,,
