inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15
97,20,2,1800.3142387866974,4.7942703334603,8.137065649032593,4.7942703334603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,20,2,1800.546052455902,4.660542217162207,36.17439413070679,4.800500810296529,41.43808722496033,4.766891159618208,84.11648845672607,4.7387561215767064,145.86247181892395,4.723772155582694,238.73521280288696,4.709738092791147,530.6576166152954,4.70771912017939,584.9674053192139,4.689556178592416,760.0780341625214,4.688262386681294,878.0685534477234,4.679144081267582,952.4583010673523,4.675234811893667,1392.6619412899017,4.669992275473705,1539.9020245075226,4.660542217162207,,,,,,
99,20,2,1800.2042889595032,4.813451144951378,5.22163987159729,4.8146621142369455,345.2141077518463,4.814661956594124,540.6406245231628,4.814661812001916,768.0835316181183,4.814661686618388,1091.8842079639435,4.813451144951378,,,,,,,,,,,,,,,,,,,,
100,20,2,1800.1094875335693,4.535851827948729,5.423562526702881,4.553029782625636,266.272531747818,4.553029674706897,331.9349374771118,4.553029296523818,387.21903443336487,4.553029273466855,413.7308874130249,4.549601087144112,488.79924392700195,4.545732571608878,838.0812110900879,4.544436023976223,1654.546154499054,4.535851827948729,,,,,,,,,,,,,,
1,40,2,1801.1291275024414,4.567130500786983,194.20281863212585,4.693819080604496,280.2926547527313,4.573058667434288,1520.4207236766815,4.567130500786983,,,,,,,,,,,,,,,,,,,,,,,,
2,40,2,1800.244642496109,4.432086362676877,44.561482429504395,4.575780584114123,97.96342444419861,4.475041437855821,498.6987919807434,4.465704757189276,673.1310451030731,4.432086362676877,,,,,,,,,,,,,,,,,,,,,,
3,40,2,1800.4476897716522,4.476130809044301,45.25299882888794,4.521427647122257,296.5601065158844,4.496015129956702,562.3816678524017,4.494886429973793,619.4526340961456,4.478341758027842,1092.2782719135284,4.476130809044301,,,,,,,,,,,,,,,,,,,,
4,40,2,1802.0472853183746,4.413993012857685,327.51925468444824,4.531161993360164,347.5462646484375,4.413993012857685,,,,,,,,,,,,,,,,,,,,,,,,,,
5,40,2,1801.197378873825,4.66125259137406,82.13029146194458,4.681052353580999,370.55549573898315,4.667087318518907,636.2620987892151,4.66125259137406,,,,,,,,,,,,,,,,,,,,,,,,
6,40,2,1800.4511244297028,4.471916604353794,21.04654026031494,4.500314866783073,143.3011827468872,4.4981029486075075,226.72506642341614,4.479220689483573,741.8612735271454,4.471916604353794,,,,,,,,,,,,,,,,,,,,,,
7,40,2,1801.5129084587097,4.8092362361263845,309.20647859573364,5.011731499815114,354.67801427841187,4.987497475028788,388.0380825996399,4.930437544868807,429.47637963294983,4.831375652650262,681.0882904529572,4.823672950893799,1042.9633481502533,4.8092362361263845,,,,,,,,,,,,,,,,,,
8,40,2,1800.4725315570831,4.415741306335805,22.009979486465454,4.474635526194459,35.3091299533844,4.420217962131066,1792.5571691989899,4.415741306335805,,,,,,,,,,,,,,,,,,,,,,,,
9,40,2,1800.5501000881195,4.313507724884478,21.480120420455933,4.534897618388907,41.83556580543518,4.4775480105971806,54.9573929309845,4.451221073729256,78.40023064613342,4.313507724884478,,,,,,,,,,,,,,,,,,,,,,
