inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19
48,20,2,2,-1,5,10,1800.863160610199,4.6943642251771065,10.413864850997925,4.721779013123872,18.638236045837402,4.721779013123872,160.21301078796387,4.6943642251771065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,20,2,2,-1,5,10,1800.951548576355,5.069551469648308,52.881895542144775,5.224705300865352,102.4982008934021,5.19321679336732,102.49842500686646,5.19321679336732,141.6742262840271,5.183988078569193,221.32486271858215,5.164586392252974,226.7719955444336,5.153576070136374,288.6106607913971,5.13270865206057,310.5609085559845,5.0811193979555185,413.2197723388672,5.069551469648308,,,,,,,,,,,,,,,,,,,,
50,20,2,2,-1,5,10,1800.208960533142,4.593598558045973,19.857747793197632,4.646097287808037,35.92526459693909,4.593598558045973,35.925450563430786,4.593598558045973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,20,2,2,-1,5,10,1800.3488564491272,4.6471076721791675,7.126868486404419,4.667852222600671,12.504204511642456,4.667851668817654,12.504397869110107,4.667851668817654,1088.9581308364868,4.6471076721791675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,20,2,2,-1,5,10,1800.1810479164124,4.5873437042501415,10.377889394760132,4.587344796127641,16.97393488883972,4.587344796127641,347.8816385269165,4.5873437042501415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20,2,2,-1,5,10,1800.3866152763367,4.848742902866259,8.262227535247803,4.912607148262563,25.064563989639282,4.912607148262563,49.60218811035156,4.908124863118551,66.11876726150513,4.8675641837757,237.05900025367737,4.851577662244261,663.1066980361938,4.849219471844428,1423.0192198753357,4.848742902866259,,,,,,,,,,,,,,,,,,,,,,,,
54,20,2,2,-1,5,10,1800.2471284866333,4.668182777647067,16.373430013656616,4.711264165264641,27.978800296783447,4.711264165264641,273.2951273918152,4.711263832114335,361.68086981773376,4.705024577391677,702.4594104290009,4.668182777647067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,20,2,2,-1,5,10,1800.1073048114777,4.619008171482097,37.796263456344604,4.672693788979714,83.7525429725647,4.655807478047863,83.75270891189575,4.655807478047863,188.65350222587585,4.652998561545107,343.24241638183594,4.648668752640769,432.34347200393677,4.638367501197139,573.4982628822327,4.619008171482097,,,,,,,,,,,,,,,,,,,,,,,,
56,20,2,2,-1,5,10,1800.5715219974518,4.651506189970666,4.793515920639038,4.689662004731781,12.429394960403442,4.665103918340197,12.429605722427368,4.665103918340197,151.17303442955017,4.651506189970666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,20,2,2,-1,5,10,657.5861330032349,4.646845440797335,2.6293833255767822,4.675270707867651,5.092944383621216,4.675270707867651,63.80365824699402,4.675270394549637,272.17286586761475,4.646845440797335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,20,2,2,-1,5,10,1800.4896411895752,4.671979976035189,8.312516689300537,4.671980390147288,17.04343342781067,4.671980390147288,667.0133254528046,4.671980344634412,1049.4795978069305,4.671980102441068,1607.1774230003357,4.671979976035189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,20,2,2,-1,5,10,1800.410572052002,4.765446302412558,4.071025848388672,4.7654468239567365,6.70953369140625,4.7654468239567365,743.709810256958,4.765446789758765,771.9216682910919,4.765446302412558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,20,2,2,-1,5,10,1800.4661672115326,4.802671374446393,11.86685848236084,4.902684269743603,19.220926761627197,4.802671374446393,19.22110629081726,4.802671374446393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,20,2,2,-1,5,10,1800.1339137554169,4.809632892539091,28.77108144760132,4.812085546209718,43.9450249671936,4.812085546209718,1127.5368535518646,4.809632892539091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
