inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21
34,20,2,1800.2668471336365,14.446101244568066,4.687957763671875,14.446102529104916,22.369167804718018,14.446101690675336,493.4355957508087,14.446101454034892,1528.0236146450043,14.446101429898361,1609.4833986759186,14.446101244568066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20,2,1800.735988855362,16.70145914689312,23.3238844871521,16.96635218536197,321.8170247077942,16.95221716105567,346.51382303237915,16.937916541178154,693.0040464401245,16.921295243073846,776.4493560791016,16.857269107174144,1123.4714653491974,16.85298182448047,1756.0516893863678,16.70145914689312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20,2,1800.5301759243011,16.082044598452182,11.162979125976562,16.325464749299268,31.207074403762817,16.184636306203398,145.44380402565002,16.159606348266795,305.27190136909485,16.122469398706883,366.913245677948,16.082044598452182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20,2,1800.5354154109955,19.42488579655495,5.548808574676514,19.424886592633943,129.72353506088257,19.4248862348081,390.9787492752075,19.42488618351894,534.2124261856079,19.42488579655495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,20,2,1800.5589423179626,21.859544840571928,51.50494837760925,21.954937534516237,322.7035777568817,21.859544840571928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20,2,1800.9855659008026,20.415507090680222,60.80559277534485,20.49302615389066,668.7886979579926,20.44250128269175,1607.3533036708832,20.415507090680222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20,2,1800.3185949325562,19.016921274727768,90.0313925743103,19.481011389186467,119.46930241584778,19.35299268864965,143.26980137825012,19.230625304080796,265.12798619270325,19.142058965340496,505.30360412597656,19.10692983461405,609.2043697834015,19.05793575540698,878.7460038661957,19.022759068027817,1625.1176211833954,19.016921274727768,,,,,,,,,,,,,,,,,,,,,,,,,,
41,20,2,1800.31281208992,18.10484211820748,4.899806261062622,18.83064566869642,6.743671655654907,18.77531042806134,10.962815523147583,18.46316091735561,20.230364561080933,18.255125795660035,30.969316720962524,18.104842863440524,846.2236423492432,18.10484211820748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,20,2,1800.1126489639282,21.081927118695454,39.43768286705017,21.61237667594557,65.65949082374573,21.326063272041196,151.21746349334717,21.081927118695454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,20,2,1800.2706081867218,18.990462578200738,12.21156930923462,18.9904659399606,75.40768527984619,18.990465864474935,85.91248393058777,18.99046450015983,551.1956069469452,18.990464371620927,1361.556759595871,18.990462578200738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,20,2,1800.3954555988312,14.8239146295617,2.8479485511779785,14.823915327050237,519.5244705677032,14.8239146295617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,20,2,1800.3344230651855,21.114020474455103,12.179754495620728,21.114022168249573,495.30674266815186,21.11402151885179,653.7854564189911,21.114020474455103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,20,2,1800.0503828525543,15.094744884947268,8.374549388885498,15.682581994165464,23.735968589782715,15.350012211309902,71.7092342376709,15.094744884947268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,20,2,1800.3440639972687,19.687132534818446,43.407673597335815,20.149842064478396,50.02812957763672,19.76526620174252,118.61217474937439,19.687132534818446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,20,2,1800.1337954998016,20.890711221174925,63.402263879776,21.190254134405624,92.88478517532349,21.135439495769194,127.4103672504425,20.96814419703692,358.4561023712158,20.890711221174925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20,2,1800.0865368843079,16.50446846717327,10.657936334609985,16.78944041563878,27.78007936477661,16.699425263834673,37.91868185997009,16.542931791738734,333.97774720191956,16.50446846717327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,20,2,1800.235463142395,17.176291536370254,10.415467023849487,17.202398342653712,28.24750518798828,17.202397819918403,105.78957009315491,17.202397530674798,132.83985543251038,17.176291536370254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,20,2,1800.3119053840637,16.608212090010028,3.010418176651001,16.608213967192732,36.2247748374939,16.608213364961674,338.08548879623413,16.608212441577376,1794.8169553279877,16.608212090010028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20,2,1800.12149310112,17.99565376829314,6.72236442565918,17.997355060038615,264.1618068218231,17.997354664479317,552.0812211036682,17.997353880072637,1708.13294672966,17.99565376829314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,20,2,1800.0549683570862,17.47796538495874,45.27874207496643,17.807096889241755,160.68585896492004,17.633981696328753,248.38664364814758,17.582165537463958,587.6877229213715,17.51663969604909,1312.6540200710297,17.498266617065433,1617.6061956882477,17.47796538495874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
