inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21,time_22,obj_22,time_23,obj_23,time_24,obj_24,time_25,obj_25,time_26,obj_26,time_27,obj_27,time_28,obj_28,time_29,obj_29,time_30,obj_30,time_31,obj_31,time_32,obj_32
21,10,6,6,5,5,2,1800.012353181839,-3.698722213075694,1.8011343479156494,-2.84143632882735,2.413151502609253,-2.8657938124571016,4.428246259689331,-2.8657938124571016,6.601980686187744,-3.1255844904033148,11.021121740341187,-3.2204368910339785,14.743985414505005,-3.4221078520924677,67.97553515434265,-3.4349781549600964,69.11869096755981,-3.4582200688090103,115.35852551460266,-3.4862130018411386,161.94551944732666,-3.489819140652888,177.24879431724548,-3.5280333023490367,214.76687383651733,-3.5282500439304445,269.6852204799652,-3.5388328679045764,408.50275015830994,-3.599182473024025,758.9077048301697,-3.6657472302019602,1138.9898221492767,-3.698722213075694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10,6,6,5,5,2,1800.1063940525055,-2.9550883312578824,1.5202710628509521,-1.7860933883869896,1.7923061847686768,-2.0191528148995728,2.690955638885498,-2.11883983947732,3.40805983543396,-2.11883983947732,7.362768650054932,-2.6080309546430107,8.973782062530518,-2.6406703425143228,18.379114627838135,-2.6466030007519925,20.35732865333557,-2.706545645185323,24.7328097820282,-2.759572094523832,26.84608030319214,-2.870594904278731,84.98424768447876,-2.893375236084035,404.8550183773041,-2.903198862213956,530.807920217514,-2.9102866572654045,570.712039232254,-2.9132663385920567,1183.3715963363647,-2.9517894952428163,1714.9830884933472,-2.9550883312578824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10,6,6,5,5,2,1800.0542023181915,-3.7310730574128477,1.6181583404541016,-2.636703157345837,3.541585922241211,-3.063504781225839,5.494111776351929,-3.063504781225839,8.71152400970459,-3.250935178053458,12.977607011795044,-3.31529985866966,23.0749773979187,-3.3362384819370217,29.715131521224976,-3.3612779993140287,31.751036167144775,-3.3903360382538104,41.43885922431946,-3.5198320797468634,98.43293309211731,-3.5258247691708346,138.11200141906738,-3.5402200342147445,216.85558557510376,-3.542613485347551,279.8387155532837,-3.566938516682249,311.1251132488251,-3.608721514687959,321.465945482254,-3.635170965551407,397.29953265190125,-3.6671268242272603,438.47216963768005,-3.7134162981416723,859.0469019412994,-3.7264695711496625,1105.9385495185852,-3.7310730574128477,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10,6,6,5,5,2,1800.0369024276733,-3.600118152846013,2.1076974868774414,-2.1710116204474703,4.4590513706207275,-2.2796318511045146,5.786280632019043,-2.438316539991849,6.629023313522339,-2.438316539991849,8.60126519203186,-3.0464457260768674,15.506117105484009,-3.276510934016815,45.890440940856934,-3.370246169267481,94.68223738670349,-3.4187116370002704,113.07822442054749,-3.420503006054084,162.68197965621948,-3.566081683924508,1074.6967236995697,-3.57820809033067,1291.00532579422,-3.5812816808845636,1477.349501132965,-3.5838749062123285,1742.0846605300903,-3.5890406742945995,1742.7262525558472,-3.600118152846013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10,6,6,5,5,2,1800.0998044013977,-3.036167397587119,1.1721043586730957,-1.4696566839942535,2.463242530822754,-2.0760181380057854,5.141122102737427,-2.2965925182896227,5.141282081604004,-2.2965925182896227,6.566919803619385,-2.514755684297343,7.3230743408203125,-2.5756029715544773,8.47500467300415,-2.611595717242067,17.17684268951416,-2.6287212710939976,19.407137632369995,-2.7061632499146677,34.12605428695679,-2.7484716632303146,56.62443828582764,-2.815323487145557,80.62078857421875,-2.819103949058366,108.74756503105164,-2.9583366784617944,678.1600623130798,-2.973068169706703,998.4687886238098,-2.982140438055705,1309.690341949463,-3.0134268568626834,1515.4047191143036,-3.036167397587119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10,6,6,5,5,2,1800.2408587932587,-3.2024593893262554,1.4160985946655273,-2.287270200133525,2.5199148654937744,-2.7230341779046037,3.8262739181518555,-2.7230341779046037,27.952507495880127,-2.7464057074571904,28.45189881324768,-2.752439835196974,31.391045093536377,-2.7613324488367996,50.32512450218201,-2.924771334833971,60.785733699798584,-2.9803742633653556,63.27831172943115,-2.989133151336383,68.50952482223511,-3.019560456573967,77.11524987220764,-3.0208310500948556,179.91674828529358,-3.042018850413067,184.50446033477783,-3.125480090138654,907.7236521244049,-3.1431009561249406,1487.6827583312988,-3.169600385786983,1554.9419071674347,-3.1737819350148677,1670.8492834568024,-3.2024593893262554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10,6,6,5,5,2,1800.1175622940063,-3.143704819444423,1.5221829414367676,-2.6627242904458654,2.344193935394287,-2.807461359885263,3.7173492908477783,-2.807461359885263,27.955812215805054,-2.8519461827570938,49.51895451545715,-2.858860135847819,62.84920907020569,-2.9224201858081966,108.97296214103699,-2.94044009895191,171.5711510181427,-2.9649895022971493,206.1330761909485,-3.057363461151008,246.47734689712524,-3.0657312622601154,429.24453806877136,-3.0877768081319807,687.3711318969727,-3.099029451763516,1064.7057156562805,-3.1284413244754696,1703.5869846343994,-3.143704819444423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10,6,6,5,5,2,1800.3580543994904,-4.030068008434856,1.4900262355804443,-3.4506430060552318,5.443257093429565,-3.4506430060552318,11.890429973602295,-3.4961664438336366,13.45478105545044,-3.5886009770589253,14.37595272064209,-3.697263726739525,38.48597550392151,-3.736866954855856,75.46177768707275,-3.7454210463305095,86.14586400985718,-3.7939531817585035,99.83771872520447,-3.8649882936952564,427.383487701416,-3.883772052779303,485.6830060482025,-3.9423851896007562,509.4387295246124,-4.026299842738536,1512.1970133781433,-4.030068008434856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10,6,6,5,5,2,1800.0496244430542,-3.538180066072043,1.4671800136566162,-1.7041227082672334,2.108717441558838,-3.048821622612204,4.7573018074035645,-3.048821622612204,10.649869918823242,-3.196864428073759,13.938838958740234,-3.2808312538269315,70.08565640449524,-3.3446228920524863,122.8550636768341,-3.3822814657410856,181.51079678535461,-3.394017356115911,194.65356945991516,-3.4072805642558213,227.17526197433472,-3.4640645070171496,336.00607800483704,-3.538180066072043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,6,6,5,5,2,1800.114450454712,-4.2531939426894745,1.1572699546813965,-3.6410606701125388,4.180737733840942,-3.6410606701125388,9.927190065383911,-3.9069823180728305,17.452412128448486,-3.99099020369494,42.0167498588562,-4.0626461669905405,228.7791726589203,-4.0689118877036705,521.9997365474701,-4.110169540845782,565.0788562297821,-4.186841010785376,961.4396634101868,-4.1965452029620876,1036.381021976471,-4.2531939426894745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10,6,6,5,5,2,1800.0191650390625,-2.8976426197621565,1.0940897464752197,-2.2506250152914586,2.600487232208252,-2.2506250152914586,3.6967549324035645,-2.646944660373909,4.961477041244507,-2.7256931086735703,110.91686367988586,-2.738422429119818,180.72505831718445,-2.74747572596005,272.6869761943817,-2.772174183180321,347.34084129333496,-2.779808723673731,359.1468667984009,-2.808861294892889,400.4120194911957,-2.844522408700706,476.3750355243683,-2.8927134641201024,1459.5830836296082,-2.8966146370702504,1513.3631975650787,-2.8976426197621565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10,6,6,5,5,2,1800.086817741394,-4.25692488386214,1.2569634914398193,-2.5578556982784333,2.2744367122650146,-3.330454952887264,3.7013306617736816,-3.410847668021412,4.1985368728637695,-3.410847668021412,6.14993953704834,-3.674363751988311,17.41560125350952,-3.7289344110807945,22.00923728942871,-3.9680064123921825,56.054686546325684,-3.9712530218900715,57.98088622093201,-4.055032398723906,70.79111862182617,-4.062085020583572,242.46407794952393,-4.186883360820125,322.54714035987854,-4.213370631687867,403.9580500125885,-4.214306453756414,441.97695541381836,-4.225783957230828,1172.1307411193848,-4.228064185543313,1485.3074252605438,-4.25692488386214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,10,6,6,5,5,2,1800.1775605678558,-3.155692402561908,1.6604132652282715,-2.412549154821991,4.1195642948150635,-2.593035706361635,4.401373863220215,-2.593035706361635,5.943211555480957,-2.8223877315450148,19.384902000427246,-2.854024512364305,29.08879518508911,-2.9722387784037427,41.91332483291626,-3.0390528712207514,97.87084007263184,-3.040229749823933,169.3101143836975,-3.089508865198033,192.2939612865448,-3.1031375652122475,369.6925332546234,-3.120763924888953,516.5516204833984,-3.131701597493011,1283.8354144096375,-3.138723360349112,1310.566355228424,-3.155692402561908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,10,6,6,5,5,2,1800.2090992927551,-3.921544849789981,1.4624664783477783,-2.310344990216857,2.1718101501464844,-3.1337834343397177,2.903174638748169,-3.221409559053385,3.821047067642212,-3.221409559053385,7.311231851577759,-3.2270934128110036,9.613577365875244,-3.416210172593998,14.710075855255127,-3.5602563652143155,38.321653842926025,-3.568757876718374,48.816216468811035,-3.6451957767901275,82.03498458862305,-3.749289790375668,126.9494743347168,-3.7608056190819776,196.3348617553711,-3.802107585558811,318.5928854942322,-3.8267948426931966,357.5815908908844,-3.845074946876613,404.84858894348145,-3.921544849789981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,10,6,6,5,5,2,1800.0418932437897,-3.598681685205158,1.1025290489196777,-2.2072708573162942,2.9062767028808594,-2.2072708573162942,3.961709976196289,-2.938604993643209,8.495180606842041,-3.070784080309951,18.1150541305542,-3.13456023712984,21.385993480682373,-3.1668079749363196,22.360745191574097,-3.363089698815218,130.80624771118164,-3.4261301633370005,172.35428094863892,-3.426635192697388,198.4561996459961,-3.476408872676615,300.59127712249756,-3.5160391910682933,418.14570021629333,-3.551870577826683,553.774343252182,-3.560855862391099,657.680778503418,-3.5730620206569452,1077.4124069213867,-3.5868622315186487,1354.0346217155457,-3.593342488072846,1520.3805453777313,-3.598681685205158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10,6,6,5,5,2,1800.0133051872253,-2.8261853689800973,1.0284154415130615,-2.020725085468451,3.5390689373016357,-2.182177445024086,3.822065591812134,-2.182177445024086,4.939580202102661,-2.2684045503772388,9.05649733543396,-2.389548331092126,21.137397289276123,-2.4118305592126115,47.31435203552246,-2.5750594995652603,63.539419651031494,-2.6190574451614483,102.62900471687317,-2.6703116526778086,374.5450565814972,-2.674819431205183,522.8701331615448,-2.6868446333228353,568.9470407962799,-2.6947838488780733,693.1290094852448,-2.714535786324434,767.0040378570557,-2.7247579680166147,1279.2513439655304,-2.8261853689800973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10,6,6,5,5,2,1800.0915386676788,-2.964973122095146,1.740260124206543,-2.2078638825120707,3.254659414291382,-2.539643126550304,3.5752716064453125,-2.539643126550304,12.41268014907837,-2.7733858171294283,52.24683356285095,-2.7879358802916765,69.07394981384277,-2.81028615588525,142.4702546596527,-2.8321630682581453,190.66708278656006,-2.838538762946773,242.2960238456726,-2.8412661692367807,361.6118915081024,-2.8829652345519885,459.4145770072937,-2.887767914731126,783.9480712413788,-2.8987036928433527,869.7187609672546,-2.900653897533031,881.0332989692688,-2.904539746092879,1294.6782207489014,-2.9055831774935847,1330.6610441207886,-2.935048336732674,1401.529432296753,-2.964973122095146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
